代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
5381,合正,12/30,24.55,-0.6,-2.39,2025,年,0,0,0,,0,,0,0,,,
5439,高技,12/30,319,-1,-0.31,2025,年,2.2,0,2.2,248.5,0.89,,0,0.89,'25/07/25,,'25/08/28
5457,宣德,12/30,40.8,-0.45,-1.09,2025,年,1.3,0,1.3,43.3,3,,0,3,'25/07/30,,'25/08/25
5460,同協,12/30,15.65,-0.35,-2.19,2025,年,0,0,0,,0,,0,0,,,
5464,霖宏,12/30,24.45,+0.15,+0.62,2025,年,1,0,1,25.8,3.88,,0,3.88,'25/08/28,,'25/09/26
5469,瀚宇博,12/30,92.5,-1.9,-2.01,2025,年,2.525,0,2.525,59.6,4.24,,0,4.24,'25/07/09,,'25/07/25
5475,德宏,12/30,97.4,-4.6,-4.51,2025,年,0,0,0,,0,,0,0,,,
5488,松普,12/30,9.61,0,0,2025,年,0,0,0,,0,,0,0,,,
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
5498,凱崴,12/30,54.1,+3,+5.87,2025,年,0.149,0,0.149,18.8,0.79,,0,0.79,'25/09/18,,'25/10/15
6108,競國,12/30,14.55,0,0,2025,年,1,0,1,15.7,6.37,,0,6.37,'25/08/28,,'25/09/19
6114,久威,12/30,32.3,+0.55,+1.73,2025,年,0.5,0,0.5,36.25,1.38,,0,1.38,'25/07/30,,'25/08/20
6115,鎰勝,12/30,47.15,-0.15,-0.32,2025,年,3.2,0,3.2,53,6.04,,0,6.04,'25/07/04,,'25/08/01
6124,業強,12/30,28.2,+0.85,+3.11,2025,年,0,0,0,,0,,0,0,,,
6126,信音,12/30,30.8,+0.2,+0.65,2025,年,0.757,0,0.757,27.55,2.75,,0,2.75,'25/09/11,,'25/10/15
6127,九豪,12/30,34.45,0,0,2025,年,0,0,0,,0,,0,0,,,
6133,金橋,12/30,21.45,-0.25,-1.15,2025,年,0.3,0,0.3,17.85,1.68,,0,1.68,'25/09/09,,'25/10/08
6134,萬旭,12/30,27.2,-0.55,-1.98,2025,年,0.2,0,0.2,19.8,1.01,,0,1.01,'25/06/26,,'25/07/22
6141,柏承,12/30,10.85,-0.1,-0.91,2025,年,0,0,0,,0,,0,0,,,
6153,嘉聯益,12/30,15.2,-0.3,-1.94,2025,年,0,0,0,,0,,0,0,,,
6155,鈞寶,12/30,41.85,-1.25,-2.9,2025,年,1,0,1,22.95,4.36,,0,4.36,'25/07/17,,'25/08/12
6156,松上,12/30,22.4,-0.15,-0.67,2025,年,1,0,1,25.15,3.98,,0,3.98,'25/08/14,,'25/09/12
6158,禾昌,12/30,21.8,-0.15,-0.68,2025,年,1.015,0,1.015,23.7,4.28,,0,4.28,'25/07/24,,'25/08/22
6173,信昌電,12/30,66,-1,-1.49,2025,年,1.407,0,1.407,37.15,3.79,,0,3.79,'25/07/10,,'25/07/31
6174,安碁,12/30,20.65,-0.1,-0.48,2025,年,0.4,0,0.4,19.65,2.04,,0,2.04,'25/07/02,,'25/07/30
6175,立敦,12/30,51.3,-0.3,-0.58,2025,年,1.75,0,1.75,33.55,5.22,,0,5.22,'25/07/10,,'25/08/08
6185,幃翔,12/30,15.45,-0.4,-2.52,2025,年,0.3,0,0.3,15.25,1.97,,0,1.97,'25/07/03,,'25/07/30
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
